county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2007-10-22,unusual,51,0.0,46,2.440994004588455,2007,10
Aweil Centre,2007-10-29,recurring,52,0.0,23,1.2199801392069247,2007,10
Aweil Centre,2007-10-29,unusual,240,0.0,159,8.437880835137195,2007,10
Aweil Centre,2007-11-05,recurring,15,0.0,8,0.4242391734483677,2007,11
Aweil Centre,2007-11-05,unusual,8,0.0,6,0.3182234614074357,2007,11
Aweil Centre,2007-11-12,recurring,11,0.0,9,0.47745379867632876,2007,11
Aweil Centre,2007-11-12,unusual,60,0.0,60,3.18489983377008,2007,11
Aweil Centre,2007-11-26,unusual,29,0.0,26,1.3802018250895194,2007,11
Aweil Centre,2007-12-03,unusual,12,0.0,12,0.6370225471388786,2007,12
Aweil Centre,2007-12-10,unusual,14,0.0,14,0.7431936382826063,2007,12
Aweil Centre,2007-12-17,unusual,3,0.0,3,0.15925649415423104,2007,12
Aweil Centre,2007-12-24,unusual,4,0.0,4,0.21234018197422666,2007,12
Aweil Centre,2008-04-14,unusual,2,0.0,2,0.10612139908939178,2008,4
Aweil Centre,2008-06-23,unusual,2,0.0,2,0.10616937587354494,2008,6
Aweil Centre,2008-08-04,unusual,9,0.0,5,0.2654247270289928,2008,8
Aweil Centre,2008-08-11,recurring,33,0.0,24,1.2729471157102739,2008,8
Aweil Centre,2008-08-11,unusual,1,0.0,1,0.05307852046331555,2008,8
Aweil Centre,2008-08-18,recurring,4,0.0,4,0.2121463952466598,2008,8
Aweil Centre,2008-08-25,recurring,61,0.0,54,2.864092479407331,2008,8
Aweil Centre,2008-08-25,unusual,65,0.0,58,3.0770020500164885,2008,8
Aweil Centre,2008-09-01,recurring,145,0.0,78,4.137551982147691,2008,9
Aweil Centre,2008-09-01,unusual,538,0.0,156,8.279907730104373,2008,9
Aweil Centre,2008-09-08,recurring,206,0.0,82,4.349394310692175,2008,9
Aweil Centre,2008-09-08,unusual,445,0.0,255,13.532557467443242,2008,9
Aweil Centre,2008-09-15,recurring,82,0.0,41,2.1748162206623745,2008,9
Aweil Centre,2008-09-15,unusual,125,0.0,72,3.821715348816449,2008,9
Aweil Centre,2008-09-22,recurring,144,0.0,77,4.084587557549227,2008,9
Aweil Centre,2008-09-22,unusual,563,0.0,356,18.89372421264303,2008,9
Aweil Centre,2008-09-29,recurring,109,0.0,59,3.1295499478928073,2008,9
Aweil Centre,2008-09-29,unusual,159,0.0,132,7.0057001619645,2008,9
Aweil Centre,2008-10-06,recurring,50,0.0,29,1.538464259617309,2008,10
Aweil Centre,2008-10-06,unusual,227,0.0,150,7.960350680624557,2008,10
Aweil Centre,2008-10-13,recurring,103,0.0,46,2.440263308231133,2008,10
