county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil Centre,35,2011-10-31,2011-11-07,2,0.1592885727643464,0.26547555861565475
Aweil Centre,36,2011-11-21,2011-11-21,1,0.4777216290380781,0.4777216290380781
Aweil Centre,37,2012-08-20,2012-08-20,1,0.47737462804407793,0.47737462804407793
Aweil Centre,38,2012-09-10,2012-10-29,8,1.27287349955226,5.835952536320752
Aweil Centre,39,2012-11-12,2012-11-19,2,0.5308577019705789,0.7431605914446051
Aweil Centre,40,2013-03-11,2013-03-18,2,0.10607424145035349,0.21214848290070698
Aweil Centre,41,2013-08-19,2013-08-19,1,0.0531021506207456,0.0531021506207456
Aweil Centre,42,2013-10-07,2013-10-14,2,0.3714324711887983,0.4774881738096333
Aweil Centre,43,2013-11-04,2013-12-02,5,13.061913705286608,18.848055806281447
Aweil Centre,44,2014-01-06,2014-01-06,1,0.1060542277014211,0.1060542277014211
Aweil Centre,45,2014-08-18,2014-08-25,2,0.9551345874066355,1.1142350739386901
Aweil Centre,46,2014-09-08,2014-12-01,13,3.8216522982533214,16.02420538976257
Aweil Centre,47,2015-11-02,2015-11-23,4,8.753436167021194,13.315049550709793
Aweil Centre,48,2016-08-08,2016-08-22,3,9.70411407025436,18.295827698804032
Aweil Centre,49,2016-09-12,2016-09-12,1,0.05303369447407172,0.05303369447407172
Aweil Centre,50,2016-11-21,2016-11-28,2,0.9559209551280357,1.646092735753354
Aweil Centre,51,2017-01-09,2017-01-09,1,0.053077657385027746,0.053077657385027746
Aweil Centre,52,2017-10-16,2017-11-06,4,1.008727139341629,1.6988930637433084
Aweil Centre,53,2017-11-20,2017-11-20,1,0.1591904089125155,0.1591904089125155
Aweil Centre,54,2017-12-18,2017-12-18,1,0.26555230331811075,0.26555230331811075
Aweil Centre,55,2018-01-22,2018-01-29,2,0.15909002463074126,0.26514724928485534
Aweil Centre,56,2018-05-21,2018-05-21,1,0.05307909554193833,0.05307909554193833
Aweil Centre,57,2018-10-22,2018-10-22,1,0.10603979260250174,0.10603979260250174
Aweil Centre,58,2019-02-25,2019-02-25,1,0.05304763929115732,0.05304763929115732
Aweil Centre,59,2019-06-10,2019-06-10,1,0.1591248760833347,0.1591248760833347
Aweil Centre,60,2019-09-09,2019-09-09,1,0.15912428298037973,0.15912428298037973
Aweil Centre,61,2019-09-23,2019-09-23,1,0.15912369000883736,0.15912369000883736
Aweil Centre,62,2019-10-28,2019-11-11,3,0.530437223518145,1.0609173557181473
Aweil Centre,63,2019-11-25,2019-12-09,3,2.2838790118485854,3.1866419186742774
Aweil Centre,64,2019-12-23,2019-12-23,1,0.053091676508877375,0.053091676508877375
Aweil Centre,65,2020-08-31,2020-12-07,15,60.68517105418144,231.3202803847592
Aweil Centre,66,2021-07-26,2021-08-23,5,6.896424525679508,13.31485599075637
Aweil Centre,67,2021-09-20,2021-12-06,12,8.380825835298085,20.901729814821405
Aweil Centre,68,2022-01-24,2022-01-24,1,0.053091676508877375,0.053091676508877375
Aweil Centre,69,2022-08-22,2022-10-10,8,6.099878480380578,15.224964452815092
Aweil Centre,70,2022-10-24,2022-11-21,5,4.9878393097825775,13.050837079737558
Aweil Centre,71,2023-05-29,2023-05-29,1,0.37127367011317974,0.37127367011317974
Aweil Centre,72,2023-11-06,2023-11-13,2,0.5836376988483539,0.6897161024948748
Aweil Centre,73,2023-12-04,2023-12-04,1,1.0621833763617674,1.0621833763617674
Aweil Centre,74,2024-01-01,2024-01-01,1,0.31861479850099444,0.31861479850099444
Aweil Centre,75,2024-02-12,2024-02-12,1,0.1592707476373702,0.1592707476373702
Aweil Centre,76,2024-09-02,2024-09-23,4,3.7125880723034133,5.198118437919427
Aweil Centre,77,2024-10-21,2024-11-11,4,2.3338341658084296,4.508447254703286
Aweil Centre,78,2024-11-25,2024-12-02,2,0.6903102504260482,0.7433881955300965
Aweil Centre,79,2024-12-16,2024-12-16,1,0.05310636954105984,0.05310636954105984
Aweil Centre,80,2025-10-13,2025-11-10,5,7.957585488875643,16.234604221339474
Aweil Centre,81,2025-11-24,2025-12-01,2,0.37159574410793095,0.4246751271496504
Aweil Centre,82,2025-12-15,2025-12-15,1,0.10621563895750234,0.10621563895750234
Aweil East,1,2000-10-30,2000-10-30,1,0.7422111723705037,0.7422111723705037
Aweil East,2,2001-08-20,2001-08-20,1,1.4843980914220856,1.4843980914220856
Aweil East,3,2001-09-03,2001-09-03,1,18.930220899017485,18.930220899017485
Aweil East,4,2001-10-01,2001-12-03,10,23.013772430394106,71.47751099065715
Aweil East,5,2002-08-05,2002-08-26,4,8.481659971775553,15.690368538297035
Aweil East,6,2002-09-23,2002-10-07,3,1.0600760287113569,2.4914845216614
Aweil East,7,2002-11-04,2002-11-04,1,0.05298320314798697,0.05298320314798697
Aweil East,8,2002-11-18,2002-11-18,1,0.05298815393166777,0.05298815393166777
Aweil East,9,2003-01-27,2003-01-27,1,0.05304024102458606,0.05304024102458606
Aweil East,10,2003-04-21,2003-04-21,1,0.052917861466258154,0.052917861466258154
Aweil East,11,2003-05-12,2003-05-19,2,0.2647844801220711,0.4765661609846535
Aweil East,12,2003-06-02,2004-01-12,33,58.853818655899765,472.37974744671266
Aweil East,13,2004-05-03,2004-05-03,1,0.15882119432782782,0.15882119432782782
Aweil East,14,2004-08-16,2004-08-30,3,5.939706592544097,8.750427773399771
Aweil East,15,2004-09-27,2004-10-04,2,0.31804001587344993,0.37103924331553706
Aweil East,16,2004-10-18,2004-11-08,4,0.052999533669429735,0.21193902135258882
Aweil East,17,2004-12-20,2004-12-20,1,0.1588301314069499,0.1588301314069499
Aweil East,18,2005-08-15,2005-08-29,3,5.302717077457789,6.893523605224694
Aweil East,19,2005-09-12,2005-12-19,15,73.70391642377231,239.33526306577537
Aweil East,20,2006-01-02,2006-01-02,1,0.053022607631543706,0.053022607631543706
Aweil East,21,2006-07-10,2006-07-10,1,0.05303160429549395,0.05303160429549395
Aweil East,22,2006-08-14,2006-08-14,1,0.4242491310114949,0.4242491310114949
Aweil East,23,2006-09-04,2006-09-11,2,10.127807890148695,16.17259812807755
Aweil East,24,2006-09-25,2007-01-08,16,83.56158776542998,281.20983476979507
Aweil East,25,2007-08-20,2007-08-27,2,5.355714009968344,8.006862304453975
Aweil East,26,2007-09-10,2007-11-12,10,161.92773503723785,722.2540234145758
Aweil East,27,2007-11-26,2007-12-10,3,0.5832420297896828,1.3253916482563237
Aweil East,28,2007-12-24,2007-12-24,1,0.05302861232705702,0.05302861232705702
Aweil East,29,2008-07-21,2008-07-21,1,0.10605332780479598,0.10605332780479598
Aweil East,30,2008-08-04,2008-08-11,2,5.990091756327678,11.662456725831227
Aweil East,31,2008-08-25,2009-01-12,21,375.2640735056267,2456.1938906586406
Aweil East,32,2009-01-26,2009-02-09,3,0.10599017091046348,0.21198034182092695
Aweil East,33,2009-08-17,2009-10-26,11,24.653744379631284,102.90884760944209
Aweil East,34,2009-11-09,2009-11-09,1,0.7418332273176534,0.7418332273176534
