state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Jonglei,Duk,SS0305,2000-03-27,recurring,5,3,0.15955573233225723
Jonglei,Duk,SS0305,2000-03-27,unusual,7,6,0.3192046178823895
Jonglei,Duk,SS0305,2000-04-03,recurring,14,8,0.42544915286005536
Jonglei,Duk,SS0305,2000-04-03,unusual,18,17,0.9042764833021533
Jonglei,Duk,SS0305,2000-05-01,recurring,16,7,0.3722935182418865
Jonglei,Duk,SS0305,2000-05-01,unusual,15,8,0.42554336730991027
Jonglei,Duk,SS0305,2000-05-15,unusual,2,1,0.05318143811727967
Jonglei,Duk,SS0305,2000-06-12,recurring,2,2,0.1063618308821176
Jonglei,Duk,SS0305,2000-06-19,recurring,7,5,0.26590640660721415
Jonglei,Duk,SS0305,2000-06-19,unusual,6,3,0.15960941721014243
Jonglei,Duk,SS0305,2000-07-10,recurring,1,1,0.0531809154410588
Jonglei,Duk,SS0305,2000-07-24,recurring,3,3,0.15954379167561814
Jonglei,Duk,SS0305,2000-07-31,recurring,3,3,0.15954379167561814
Jonglei,Duk,SS0305,2000-08-21,recurring,1,1,0.0531809154410588
Jonglei,Duk,SS0305,2000-08-21,unusual,2,2,0.10641035479149764
Jonglei,Duk,SS0305,2000-09-18,recurring,1,1,0.053182743637162105
Jonglei,Duk,SS0305,2000-09-18,unusual,3,3,0.15966602383389514
Jonglei,Duk,SS0305,2000-10-16,recurring,5,4,0.21276224756544757
Jonglei,Duk,SS0305,2000-10-23,recurring,2,2,0.10636261493159603
Jonglei,Duk,SS0305,2000-11-27,recurring,2,2,0.10638867887936551
Jonglei,Duk,SS0305,2000-12-04,recurring,5,4,0.21274943969499815
Jonglei,Duk,SS0305,2000-12-04,unusual,5,5,0.26598267851750623
Jonglei,Duk,SS0305,2000-12-11,recurring,4,4,0.2127395505051197
Jonglei,Duk,SS0305,2000-12-11,unusual,3,3,0.15957006535080775
Jonglei,Duk,SS0305,2000-12-18,recurring,7,6,0.3191543177477112
Jonglei,Duk,SS0305,2000-12-18,unusual,28,25,1.3304029355327147
Jonglei,Duk,SS0305,2000-12-25,recurring,3,2,0.10636522632291412
Jonglei,Duk,SS0305,2000-12-25,unusual,61,32,1.7026201165743402
Jonglei,Fangak,SS0306,2000-02-28,recurring,1,1,0.052948999271891166
Jonglei,Fangak,SS0306,2000-03-06,recurring,6,5,0.2648211087553667
Jonglei,Fangak,SS0306,2000-03-06,unusual,4,2,0.10607751244061721
Jonglei,Fangak,SS0306,2000-03-13,recurring,2,2,0.10598892258028397
Jonglei,Fangak,SS0306,2000-03-27,recurring,8,5,0.26477873670600777
Jonglei,Fangak,SS0306,2000-03-27,unusual,15,8,0.42400300012974773
Jonglei,Fangak,SS0306,2000-04-03,recurring,13,8,0.4237154075728386
Jonglei,Fangak,SS0306,2000-04-03,unusual,37,20,1.0597516207513609
Jonglei,Fangak,SS0306,2000-05-01,recurring,5,4,0.21178867622951197
Jonglei,Fangak,SS0306,2000-05-01,unusual,19,15,0.7947521329081292
Jonglei,Fangak,SS0306,2000-06-12,recurring,1,1,0.05294836391496036
Jonglei,Fangak,SS0306,2000-07-24,recurring,1,1,0.05304024102458606
Jonglei,Fangak,SS0306,2000-07-24,unusual,4,4,0.21215115959563507
Jonglei,Fangak,SS0306,2000-07-31,recurring,1,1,0.052988771500997456
Jonglei,Fangak,SS0306,2000-07-31,unusual,1,1,0.052983822958949704
Jonglei,Fangak,SS0306,2000-09-18,recurring,4,4,0.21177911233953656
Jonglei,Fangak,SS0306,2000-09-18,unusual,9,8,0.42349631594311704
Jonglei,Fangak,SS0306,2000-10-02,recurring,3,3,0.15891834278633413
Jonglei,Fangak,SS0306,2000-10-02,unusual,4,4,0.21190463210722071
Jonglei,Fangak,SS0306,2000-10-16,recurring,11,9,0.47664982322805627
Jonglei,Fangak,SS0306,2000-10-16,unusual,15,11,0.5826689856486787
Jonglei,Fangak,SS0306,2000-10-23,recurring,3,3,0.15887693800114144
Jonglei,Fangak,SS0306,2000-10-23,unusual,1,1,0.0529429520030465
Jonglei,Fangak,SS0306,2000-10-30,unusual,1,1,0.052986608711729916
Jonglei,Fangak,SS0306,2000-11-06,recurring,1,1,0.052927884371993146
Jonglei,Fangak,SS0306,2000-11-06,unusual,2,1,0.05297293560164914
Jonglei,Fangak,SS0306,2000-11-13,recurring,1,1,0.052936559088740474
Jonglei,Fangak,SS0306,2000-11-13,unusual,1,1,0.052936559088740474
Jonglei,Fangak,SS0306,2000-11-20,recurring,4,4,0.21181509932837503
Jonglei,Fangak,SS0306,2000-11-20,unusual,2,2,0.1059744234761911
Jonglei,Fangak,SS0306,2000-11-27,recurring,11,9,0.47687546572942263
Jonglei,Fangak,SS0306,2000-11-27,unusual,7,5,0.2649351987223831
Jonglei,Fangak,SS0306,2000-12-04,recurring,9,8,0.4238723788028967
