county_code,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks,potential_cattle_exposure_weeks,flooded_rangeland_km2_weeks,state,county
SS0201,48,2009-04-27,2009-04-27,1,1.0699117944920735,1.0699117944920735,17.70035061034736,1.004647231677967,Eastern Equatoria,Budi
SS0201,49,2009-05-11,2009-05-11,1,0.5352367750479843,0.5352367750479843,10.547678373202578,0.47903694125695184,Eastern Equatoria,Budi
SS0201,50,2009-06-01,2009-06-22,4,0.9628561261951268,1.3374553240932883,26.078159828861455,1.04695482139404,Eastern Equatoria,Budi
SS0201,51,2009-07-06,2009-07-06,1,0.16042978446651554,0.16042978446651554,3.5957946399205465,0.11711375408508654,Eastern Equatoria,Budi
SS0201,52,2009-08-24,2009-08-24,1,0.21410414102924896,0.21410414102924896,4.664219152157806,0.027833552352839082,Eastern Equatoria,Budi
SS0201,53,2009-09-21,2009-09-21,1,0.05348188901243237,0.05348188901243237,1.215210113721088,0.04866851900131346,Eastern Equatoria,Budi
SS0201,54,2009-10-19,2009-12-21,10,7.864045364535842,17.119307673887214,314.9295218578458,12.549999212084849,Eastern Equatoria,Budi
SS0201,55,2010-01-04,2010-01-25,4,0.6422592257577158,1.2841673485106861,24.849670916999628,1.1685893347880487,Eastern Equatoria,Budi
SS0201,56,2010-04-26,2010-05-03,2,0.37441234301316584,0.5348431063716892,9.995387324848368,0.49312895675134255,Eastern Equatoria,Budi
SS0201,57,2010-05-24,2010-05-24,1,0.21395936604974033,0.21395936604974033,3.9457954570118705,0.2112848425930212,Eastern Equatoria,Budi
SS0201,58,2010-07-12,2010-07-12,1,0.16045488252501464,0.16045488252501464,3.027277657718863,0.15082924742631598,Eastern Equatoria,Budi
SS0201,59,2010-09-27,2010-09-27,1,0.3747051327618945,0.3747051327618945,8.783871161960336,0.259081893225665,Eastern Equatoria,Budi
SS0201,60,2010-10-18,2010-10-18,1,0.053536719404865075,0.053536719404865075,1.0261795393173185,0.053536719404865075,Eastern Equatoria,Budi
SS0201,61,2010-11-01,2011-01-17,12,1.5517437049105072,4.763117278165565,108.968552137785,3.8094755808804157,Eastern Equatoria,Budi
SS0201,62,2011-01-31,2011-01-31,1,1.4989957389737971,1.4989957389737971,30.341316789406623,1.2896721789818593,Eastern Equatoria,Budi
SS0201,63,2011-02-28,2011-02-28,1,0.32109012119947483,0.32109012119947483,6.052255524353359,0.3066395947488071,Eastern Equatoria,Budi
SS0201,64,2011-04-11,2011-04-11,1,0.10705619011609777,0.10705619011609777,2.3321993208358167,0.10277394251145386,Eastern Equatoria,Budi
SS0201,65,2011-05-02,2011-05-02,1,0.10696305236371692,0.10696305236371692,1.8566738125982578,0.10589342184007976,Eastern Equatoria,Budi
SS0201,66,2011-12-05,2011-12-26,4,3.3707881910025255,7.222954899673259,133.23104937785948,6.06418751768146,Eastern Equatoria,Budi
SS0201,67,2012-01-09,2012-01-09,1,0.5352020735193374,0.5352020735193374,11.09145651985279,0.2520809496326327,Eastern Equatoria,Budi
SS0201,68,2012-01-30,2012-01-30,1,0.534939015116101,0.534939015116101,9.221038388456481,0.5322634116494349,Eastern Equatoria,Budi
SS0201,69,2012-02-20,2012-02-20,1,0.0535040255572968,0.0535040255572968,0.9984721260669329,0.04387330095698338,Eastern Equatoria,Budi
SS0201,70,2012-03-19,2012-03-19,1,0.10697177946064317,0.10697177946064317,2.430602035262763,0.10697177946064317,Eastern Equatoria,Budi
SS0201,71,2012-10-22,2012-11-12,4,0.3211902446328021,0.8029863968779443,16.82205834496289,0.7403559364808721,Eastern Equatoria,Budi
SS0201,72,2012-11-26,2012-12-17,4,2.3014032906506188,6.957688550310133,136.8866666134217,6.438059919951312,Eastern Equatoria,Budi
SS0201,73,2012-12-31,2013-01-14,3,1.765688660915045,3.264322088177975,58.465170041415114,2.9892495002913533,Eastern Equatoria,Budi
SS0201,74,2013-02-04,2013-02-04,1,0.6420867296561229,0.6420867296561229,12.339198513085567,0.6196135867604482,Eastern Equatoria,Budi
SS0201,75,2013-02-18,2013-02-18,1,0.37448174396220546,0.37448174396220546,6.673219265387224,0.28569050153513303,Eastern Equatoria,Budi
SS0201,76,2013-05-13,2013-06-03,4,0.9627776145620265,1.4976582030964019,25.797440720928222,1.3141940278402933,Eastern Equatoria,Budi
SS0201,77,2013-07-01,2013-07-01,1,0.16046575488084086,0.16046575488084086,3.077112139303531,0.16046575488084086,Eastern Equatoria,Budi
SS0201,78,2013-11-18,2013-11-18,1,0.2675982444092031,0.2675982444092031,4.877062607344993,0.2322752176531933,Eastern Equatoria,Budi
SS0201,79,2013-12-02,2014-02-10,11,2.7293869745589285,9.63234997505315,189.94349027188306,8.340934169952233,Eastern Equatoria,Budi
SS0201,80,2014-02-24,2014-03-03,2,0.21400162727338348,0.2674987920948458,4.749061948290968,0.21720529186629173,Eastern Equatoria,Budi
SS0201,81,2014-03-17,2014-03-17,1,0.21394848379866616,0.21394848379866616,3.4742544984529515,0.19362339290588865,Eastern Equatoria,Budi
SS0201,82,2014-04-14,2014-04-21,2,0.42777933223226916,0.5882804849479045,8.184453737383365,0.4396236410529126,Eastern Equatoria,Budi
SS0201,83,2014-05-19,2014-06-02,3,1.0163459384784799,2.5145543142826874,47.499233327059386,2.1754076960484974,Eastern Equatoria,Budi
SS0201,84,2014-11-17,2014-12-01,3,0.5889048555633781,0.8565135345522868,19.394895382349425,0.7623175795925954,Eastern Equatoria,Budi
SS0201,85,2014-12-15,2015-01-05,4,1.016866907711989,1.7662237193223917,37.23944287010946,1.5478667940449982,Eastern Equatoria,Budi
