state,county,county_code,detected_weeks,largest_weekly_flood_area_km2,largest_weekly_flood_percent,flood_area_km2_weeks,flooded_rangeland_km2_weeks,potential_cattle_weeks,peak_potential_cattle_exposed,peak_flooded_rangeland_km2,mapped_cattle,mapped_rangeland_km2,mean_weekly_potential_cattle_exposed,mean_weekly_flooded_rangeland_km2,cattle_exposure_weeks_per_year,rangeland_exposure_weeks_per_year,cattle_absolute_rank,rangeland_absolute_rank
Jonglei,Nyirol,SS0307,260,34.40171149109579,0.48613641900708354,552.7751147578945,222.44202960648175,9889.560143064411,507.0792039189956,19.011491337964618,140483.80953124614,3710.9150588704556,7.287811453989986,0.16392190833196887,0.00270755540499184,0.0023054859896945537,51,55
Jonglei,Pibor,SS0308,862,972.4953309973622,2.942505400028222,19868.069977113522,19212.759526400423,39292.96599519056,2333.3940985269764,943.4110611402915,193875.53854897854,27049.323747902068,28.955759760641534,14.15826052056037,0.0077950417788789535,0.027318697367961078,40,6
Jonglei,Pochalla,SS0309,814,378.98567912126396,4.587575058075549,8281.83843833129,7054.712313237935,94914.34807383656,4677.233948177249,368.55919927033244,80363.3332727724,5881.080917662681,69.94425060710137,5.198756310418522,0.04542559025772197,0.046136941961772315,29,10
Jonglei,Twic East,SS0310,1178,464.2605192999022,7.810705136013825,29135.930851140423,2531.476856973852,437398.0888205365,8341.3949464451,73.0028771413044,88299.61811081132,1745.4260068320687,322.32725778963635,1.865495104623325,0.1905218139795634,0.055782653700519755,17,28
Jonglei,Uror,SS0311,418,245.681799055643,2.0186054676081895,5066.496090126492,5021.095427232589,86618.06167306095,4322.733237402156,244.90384868925096,217525.1034783222,11730.640022262383,63.83055392266835,3.700144014172873,0.015315307783932837,0.016462789287460887,31,18
Lakes,Awerial,SS0401,1144,57.99617256056692,1.2806473038696178,7575.054193372528,357.8021177505997,168585.60190231432,1616.0960496036919,24.605491280823145,176328.24155778295,2504.7722140982924,124.23404709087275,0.26367142059734683,0.03677267778742431,0.005494160241808147,24,51
Lakes,Cueibet,SS0402,315,26.031257939882117,0.5353672875681059,836.8488185391442,705.1338983305959,44230.52261604839,1340.0403651855333,22.11373085188633,219504.52589374286,3485.676600542174,32.59434238470773,0.5196270437218835,0.007750063192749799,0.007780565341878918,38,43
Lakes,Rumbek Centre,SS0403,371,74.48352694080573,1.9329479461458607,1114.0000798711376,969.2591478877237,56785.39804189391,3521.4224726634225,72.14049648340223,192536.15799166594,3141.75646908826,41.84627711267053,0.7142661369843211,0.011343603163290564,0.011865718543901059,35,37
Lakes,Rumbek East,SS0404,754,47.71101401932804,1.3376599379164715,870.2102854371184,439.93379522850563,35516.59128353586,2493.781088373723,39.128609629962,166305.2755131909,2619.460589948675,26.172874932598276,0.3241958697336077,0.008213947137029377,0.006459547683457719,41,48
Lakes,Rumbek North,SS0405,328,132.5897709613232,3.2308298398801707,1759.9437017622436,1451.0021535027001,78157.39761970758,5636.0224960723735,117.44967107806742,194708.27402497112,3396.0875975295908,57.5957241117963,1.0692720364795136,0.015438757133754958,0.016432961027069905,33,32
